Price,Close,High,Low,Open,Volume
Ticker,V,V,V,V,V
Date,,,,,
2015-01-02,61.340972900390625,61.741397628444844,60.75538466934265,60.961385600192955,8389600
2015-01-05,59.98694610595703,60.98915568921363,59.91750449893025,60.986838849919074,12751200
2015-01-06,59.600425720214844,60.35960755946874,58.989376836625894,60.13046643547804,11070000
2015-01-07,60.39894104003906,60.442918605546346,59.58883840063999,59.81797945831042,9346800
2015-01-08,61.209049224853516,61.36412207429418,60.78779411895287,60.91972682742754,10443200
2015-01-09,60.30174255371094,61.21368748901929,60.1258322422698,61.01462996867225,10523600
2015-01-12,60.18366622924805,60.64195530457429,59.97998925930257,60.4197577514765,6425600
2015-01-13,60.359596252441406,61.52382931053564,59.97305841707807,60.6466018136585,10284000
2015-01-14,59.15138244628906,59.85501646490902,58.8180824934446,59.401360942689806,12225200
2015-01-15,58.588951110839844,59.59347775073627,58.410727503191126,59.41756745111542,10569200
2015-01-16,59.010196685791016,59.04491749325646,58.211667558832524,58.30424931520513,11137200
2015-01-20,59.447662353515625,60.107318960597816,58.85050038532195,59.30415954665955,14933200
2015-01-21,59.54949951171875,60.09342709247829,58.90604671035143,59.29026774477017,9784000
2015-01-22,59.62356185913086,59.94760153580656,58.64449231048035,59.125925209946814,11566000
2015-01-23,59.783267974853516,60.32950527409714,59.75780393068327,59.836498775648785,6166800
2015-01-26,59.37590026855469,59.55181054907397,58.74402113230054,59.470798863911924,8552400
2015-01-27,58.09362030029297,58.74169960277584,57.53580590687199,58.74169960277584,11027600
2015-01-28,57.021976470947266,58.56117031149697,57.008089560060874,58.450071492638074,11430800
2015-01-29,57.40156555175781,57.58673259860088,56.746539198463935,57.29278004417879,15668400
2015-01-30,59.00093078613281,61.01692700286058,59.00093078613281,60.27163232464231,22151600
2015-02-02,59.100460052490234,59.32497450074444,57.795037621987426,59.32497450074444,13665200
2015-02-03,60.130462646484375,60.28322574069763,58.96159929577607,59.41756820682251,15075600
2015-02-04,61.310874938964844,61.73675654688536,59.97073197334801,60.08414406259173,22170800
2015-02-05,62.910255432128906,62.910255432128906,61.54465521231376,61.857124795174045,16565600
2015-02-06,61.89646530151367,63.0606980787046,61.577052317982414,62.898674747960676,11242000
2015-02-09,61.44282150268555,62.109421486252025,61.40116076959655,61.894167301756575,7834400
2015-02-10,61.2321891784668,62.0006311589274,61.019251850192454,61.741399421792515,9396800
2015-02-11,61.677406311035156,61.74928813395627,61.27393968220368,61.44321366193354,8795600
2015-02-12,62.81824493408203,62.81824493408203,61.92551073032778,62.05536220617843,11641600
2015-02-13,62.52141189575195,63.24487180860251,62.32431372140411,63.24487180860251,8476000
2015-02-17,62.8089714050293,63.0686743716084,62.57709274538722,62.950421067126015,6810400
2015-02-18,62.40317916870117,62.839112149039906,62.178256602308295,62.80896679327984,6429200
2015-02-19,62.398521423339844,62.62344390783591,62.14345359405997,62.62344390783591,5654800
2015-02-20,63.30286407470703,63.30286407470703,61.925504488070516,62.38462670907402,9034800
2015-02-23,63.30521011352539,63.377091948914156,62.665222597030045,63.29361193197369,6654800
2015-02-24,63.17997741699219,63.49069396555713,62.87853799601313,63.49069396555713,9045200
2015-02-25,63.30521011352539,63.588102428285836,62.899422363128345,62.899422363128345,6842800
2015-02-26,63.476783752441406,63.650692749023435,63.07563111949712,63.34925331883132,13459600
2015-02-27,62.9109992980957,63.57881097769295,62.9109992980957,63.411858057793644,7965200
2015-03-02,64.52951049804688,64.52951049804688,63.636776293993506,64.16313827390823,11653600
2015-03-03,63.83617401123047,64.61296871535347,63.418795373144754,64.61296871535347,8807200
2015-03-04,63.476783752441406,63.801412464119494,63.12896575927734,63.801412464119494,8021200
2015-03-05,63.56488800048828,63.799087673956336,63.4767729916043,63.76662127010477,6756000
2015-03-06,62.45417785644531,63.64603719186882,62.43330963275231,63.39560435480706,11590800
2015-03-09,62.936492919921875,63.11967191949867,62.39389076703808,62.727796518178884,8902000
2015-03-10,61.494224548339844,62.574772895808735,61.494224548339844,62.523766383028246,11125600
2015-03-11,61.38988494873047,61.99972705324589,60.995688333806626,61.59393933403804,12105200
2015-03-12,62.50982666015625,62.60721878075262,61.749265174319056,61.77245444840133,9530800
2015-03-13,61.45479202270508,62.33824902247428,61.331896633866094,62.33824902247428,12578800
2015-03-16,62.379981994628906,62.61881668324293,61.8257957886259,61.88608649251591,9849600
2015-03-17,61.33189392089844,62.22694198183701,61.24842101581296,62.15738122759911,14290800
2015-03-18,62.06696319580078,62.13884501331794,60.058893178212664,61.23683364146555,50658000
2015-03-19,61.967262268066406,62.3197224251819,60.9840988326946,61.98581652706008,15407500
2015-03-20,62.523773193359375,62.792746245796046,61.93943436731331,62.375367435514015,15372000
2015-03-23,62.21767807006836,63.265766970099854,62.20840094313018,63.09881406708493,8128000
2015-03-24,62.236202239990234,62.783439305047956,61.99504656336962,62.236202239990234,6534800
2015-03-25,60.96552658081055,62.54229828082938,60.96552658081055,62.236216820683545,13054300
2015-03-26,60.8356819152832,61.49422353769807,60.30699885289214,60.520330333957894,9487200
2015-03-27,60.789310455322266,61.039736294931465,60.4275803112339,60.770756199721504,6521100
2015-03-30,60.900596618652344,61.51275242000013,60.752190923554075,61.23449527987739,11237100
2015-03-31,60.668731689453125,61.410739102919514,60.65017743520106,60.72438029946009,7400500
2015-04-01,60.45542907714844,60.770780786194145,59.77834000128854,60.70585501807426,7633000
2015-04-02,60.55741500854492,60.863496453736104,60.112204990414725,60.2791578626669,5083000
2015-04-06,60.47395706176758,60.88206580400874,59.74122665838114,60.03803108645405,8351200
2015-04-07,61.03044891357422,61.39217895494734,60.575961773286444,60.640887496702824,6660800
2015-04-08,61.679718017578125,61.99506957018117,61.0304606584692,61.113933571908426,6604200
2015-04-09,61.62406921386719,61.97652219678753,60.99335903427984,61.74464355835651,5408500
2015-04-10,61.531314849853516,61.855950619278325,61.151037545530556,61.855950619278325,4628500
2015-04-13,60.8542366027832,61.95798129800578,60.761486553286595,61.42002110400022,5059800
2015-04-14,60.780033111572266,61.16031750991025,60.17714718144198,60.77075598380485,5621800
2015-04-15,60.91914749145508,61.13247892201939,60.56669455875476,60.84494463940024,5347100
2015-04-16,60.89133071899414,61.225236518148094,60.61307352757441,60.78002642715138,4121300
2015-04-17,59.843238830566406,60.752206251444846,59.68556304702238,60.3811989964664,11212900
2015-04-20,60.028751373291016,60.483231586252685,59.89889988387339,60.28845435212625,5948900
