Asset,Model,MAE,RMSE,R²,Dir_Acc,MAPE
GSPC,Naive_Last,0.004903987386295217,0.006146811841330771,-0.06666664784859244,0.0,137.0214763590964
GSPC,Naive_Mean,0.004777638489949071,0.005951651937457481,-9.043440381661938e-06,0.0,112.1473906389226
GSPC,ARIMA,0.00474898264913795,0.005866475576920923,0.028409160618535156,48.275862068965516,113.08839059379213
GSPC,Prophet,0.005588546428256801,0.00741468584132821,-0.5520810163498675,51.724137931034484,326.8765626506466
GSPC,LSTM,0.0047295941860255476,0.0059177385693760225,0.01135487791589318,48.275862068965516,99.92738193302912
IXIC,Naive_Last,0.008675102886086318,0.010819479651563853,-0.40606446379223393,0.0,256.03772151125617
IXIC,Naive_Mean,0.006834146709675719,0.009143809053743897,-0.004261422010366944,0.0,105.55678742196683
IXIC,ARIMA,0.006801279593186567,0.009058930633881043,0.014296379600123754,55.172413793103445,106.80251447240536
IXIC,Prophet,0.007467017631884298,0.009984344452810955,-0.19737888177100715,58.620689655172406,147.458294000717
IXIC,LSTM,0.006768503280915774,0.009081244878838244,0.00943436605634762,55.172413793103445,99.6676294601362
AAPL,Naive_Last,0.009154889676643376,0.012915654075631132,-0.09204870244511199,0.0,213.04080344539057
AAPL,Naive_Mean,0.008829305716553102,0.012795255305064493,-0.07178360540260886,0.0,110.33445052350959
AAPL,ARIMA,0.008804064424919385,0.012754832998564133,-0.06502242235182343,37.93103448275862,110.19136393636528
AAPL,Prophet,0.009951383761726218,0.013019019398333952,-0.10959820646979979,51.724137931034484,192.73416859953977
AAPL,LSTM,0.008721736036443809,0.012617423266948107,-0.04219873663324769,41.37931034482759,99.59784075935539
TSLA,Naive_Last,0.020936735508719252,0.029109275898910228,-0.014216117995694555,0.0,121.79684322450102
TSLA,Naive_Mean,0.021449622499745743,0.029177490585406664,-0.01897511634263438,0.0,108.36915091734194
TSLA,ARIMA,0.021885325676365988,0.029667215030221877,-0.05346779166479987,48.275862068965516,116.3471987293882
TSLA,Prophet,0.021525554744791595,0.03002582932520341,-0.07909014578589746,55.172413793103445,164.93887595737792
TSLA,LSTM,0.021046534709350178,0.028827071045193935,0.005353542464138772,51.724137931034484,97.21961406747994
BTC_USD,Naive_Last,0.018660064516160934,0.021600651501531416,-1.743990388395385,0.0,489.60066193082935
BTC_USD,Naive_Mean,0.009524806508163914,0.013689602540089288,-0.10212426378529926,0.0,131.89097171979367
BTC_USD,ARIMA,0.009524806508163914,0.013689602540089288,-0.10212426378529926,0.0,131.89097171979367
BTC_USD,Prophet,0.009008168464519966,0.013215990886105741,-0.02718423751269161,58.620689655172406,123.58423101949722
BTC_USD,LSTM,0.00896547377080034,0.013179877493487948,-0.02157823705315809,55.172413793103445,106.52836834783146
ETH_USD,Naive_Last,0.15020549410854414,0.15280596229067184,-28.63261695572903,0.0,2666.704016678299
ETH_USD,Naive_Mean,0.021379019846495862,0.02815589121811858,-0.006069455789410538,0.0,105.71245962176809
ETH_USD,ARIMA,0.020844685970323146,0.02772170413383662,0.024720141991202094,41.37931034482759,99.58849569325004
ETH_USD,Prophet,0.02162601332235938,0.028984088079622498,-0.06612637718948866,34.48275862068966,126.16095249069303
ETH_USD,LSTM,0.022706385614682,0.028994917601553153,-0.06692321412213276,48.275862068965516,170.37539493559123
GC=F,Naive_Last,0.015059383078639783,0.01620192927641354,-6.349410220320171,0.0,1117.5803926106164
GC=F,Naive_Mean,0.004469056026254131,0.00600501234974411,-0.009594171305338017,0.0,103.61494997350307
GC=F,ARIMA,0.00440754952205409,0.005984802098545832,-0.0028099001370740506,0.0,100.0
GC=F,Prophet,0.006350130470044019,0.008328018594037657,-0.9417906121902697,58.620689655172406,278.3723555512552
GC=F,LSTM,0.00437003865629809,0.005998577020988643,-0.007431448333252932,41.37931034482759,101.08553284918725
