Date,Open,High,Low,Close,Volume,Returns,Log_Returns,Volume_Change,Price_Range,Intraday_Return
2015-01-05,60.986838849919074,60.98915568921363,59.91750449893025,59.98694610595703,12751200,-0.02207377435360136,-0.022321045691987288,0.5198817583675026,1.071651190283383,-0.016395221703860617
2015-01-06,60.13046643547804,60.35960755946874,58.98937683662589,59.60042572021485,11070000,-0.006443408288520858,-0.006464256648289848,-0.13184641445511014,1.3702307228428552,-0.008814844565224545
2015-01-07,59.81797945831042,60.442918605546346,59.58883840063999,60.39894104003906,9346800,0.013397812350749216,0.013308855334971281,-0.15566395663956645,0.854080204906353,0.009712156562117581
2015-01-08,60.91972682742754,61.36412207429418,60.78779411895287,61.20904922485352,10443200,0.013412622321928414,0.013323469401413912,0.11730217828561651,0.5763279553413128,0.004749239901314265
2015-01-09,61.01462996867225,61.21368748901929,60.1258322422698,60.30174255371094,10523600,-0.014823080616880091,-0.014934040351713461,0.0076987896430213976,1.0878552467494913,-0.011683876724768222
2015-01-12,60.4197577514765,60.64195530457429,59.97998925930257,60.18366622924805,6425600,-0.001958091415977248,-0.0019600109831752533,-0.3894104679007184,0.6619660452717184,-0.003907521827538056
2015-01-13,60.6466018136585,61.52382931053564,59.97305841707807,60.359596252441406,10284000,0.0029232187770551477,0.002918954481337504,0.6004731075697212,1.5507708934575675,-0.004732426098645071
2015-01-14,59.401360942689806,59.85501646490902,58.8180824934446,59.15138244628906,12225200,-0.020016929886330637,-0.020219982860955724,0.18875923765071967,1.0369339714644212,-0.004208295776959074
2015-01-15,59.41756745111542,59.59347775073627,58.410727503191126,58.58895111083984,10569200,-0.009508337965895008,-0.009553830815252217,-0.1354579066191146,1.182750247545144,-0.013945645636827987
2015-01-16,58.30424931520513,59.04491749325646,58.21166755883253,59.010196685791016,11137200,0.007189846668431699,0.007164122947022157,0.053741058925935725,0.8332499344239324,0.012107991765220764
2015-01-20,59.30415954665955,60.107318960597816,58.85050038532195,59.447662353515625,14933200,0.007413391113640255,0.0073860469883754625,0.34083970836475963,1.2568185752758652,0.002419776419614735
2015-01-21,59.29026774477017,60.09342709247829,58.90604671035143,59.54949951171875,9784000,0.001713055722822654,0.0017115901164061577,-0.34481557871052415,1.1873803821268538,0.0043722482088377305
2015-01-22,59.125925209946814,59.94760153580656,58.64449231048035,59.62356185913086,11566000,0.0012437106612044335,0.0012429378937664078,0.18213409648405565,1.3031092253262102,0.008416555807237115
2015-01-23,59.83649877564879,60.32950527409714,59.75780393068327,59.78326797485352,6166800,0.002678573884934865,0.002674992899104419,-0.4668165312121736,0.5717013434138707,-0.0008896042028604163
