Ticker,Total_Rows,Start_Date,End_Date,Mean_Return,Std_Return,Skewness,Kurtosis,Min_Return,Max_Return,Sharpe_Ratio
GSPC,2514,2015-01-05,2024-12-30,0.0004828025775183081,0.011232217117928562,-0.5284077784848454,14.591989373000517,-0.11984055240393443,0.09382773976227554,0.6823455453414526
IXIC,2514,2015-01-05,2024-12-30,0.0006543145420125578,0.013443530036716523,-0.4516506682324283,7.330793348400501,-0.12321331290147408,0.09345998172386105,0.7726334761704476
DJI,2514,2015-01-05,2024-12-30,0.00040752775959720813,0.011049015312520477,-0.5567120580223978,21.138601706667167,-0.12926545507355425,0.1136504119941153,0.5855094270858975
FTSE,2523,2015-01-05,2024-12-30,0.00013446980470052365,0.009888935812051894,-0.6708345855971766,12.161516902372792,-0.10873819450353106,0.0905304684709578,0.2158616471054972
N225,2443,2015-01-06,2024-12-30,0.00042370309295924007,0.01299634272327766,-0.23833119963146393,8.594836188387493,-0.12395757674714236,0.10226327398560753,0.5175362196433276
HSI,2458,2015-01-05,2024-12-30,2.4818733762610112e-05,0.013673040533372557,0.10840949030008097,3.7111278377971453,-0.09406974008054558,0.09081795543542825,0.02881474558542488
GDAXI,2534,2015-01-05,2024-12-30,0.0003464086645236081,0.012093648159147671,-0.3924939181864831,10.045550437633217,-0.1223861487212149,0.10975899955959934,0.45470704932037487
AAPL,2514,2015-01-05,2024-12-30,0.0010910965034030193,0.017932051054390646,-0.0035613150440396055,5.311308994561552,-0.12864671846548692,0.11980800869448305,0.9659028949740937
MSFT,2514,2015-01-05,2024-12-30,0.001084845885192168,0.017098452781521282,0.07466965380574407,7.807658788963572,-0.14738983647389536,0.14216843253168587,1.0071902269960247
GOOGL,2514,2015-01-05,2024-12-30,0.0009486536882670521,0.017936682404192196,0.24060412295038602,6.695693656711919,-0.11634152945657084,0.1625841253627074,0.839587282503991
AMZN,2514,2015-01-05,2024-12-30,0.0012721487393594307,0.020653183471634647,0.3994853178063318,6.168883375590102,-0.14049437774923412,0.1413112565602248,0.9778025357646193
TSLA,2514,2015-01-05,2024-12-30,0.0019794619760997493,0.03600924001055747,0.2745848344059943,4.39651682074596,-0.21062824320390794,0.21919035070290405,0.872636709400078
JPM,2514,2015-01-05,2024-12-30,0.0007899007275880414,0.017244909633980527,0.38040734624708455,13.922550411551411,-0.14964864100125763,0.18012493724388334,0.727129662022314
XOM,2514,2015-01-05,2024-12-30,0.0003783643274398947,0.017504694236184677,0.08165055505692148,6.458918681483436,-0.12224771739059093,0.12686791003492304,0.34312781538846143
JNJ,2514,2015-01-05,2024-12-30,0.0003001953895580635,0.011373127588301035,-0.14534435177903604,9.384088249715646,-0.10037855685949992,0.07997707537520449,0.41900998964389846
V,2514,2015-01-05,2024-12-30,0.0007668412297300856,0.01539126298557742,0.18931380703359083,9.907632553091974,-0.13547164008082935,0.1384261385687795,0.7909180127080943
WMT,2514,2015-01-05,2024-12-30,0.0006263015833495254,0.013310969021309373,0.15429297849979642,15.720845742763137,-0.1137575449027779,0.11708528475280566,0.7469200323204582
PG,2514,2015-01-05,2024-12-30,0.0004236770700226394,0.011637853339245597,0.2185651445554568,12.423750461178656,-0.08737346922555467,0.12009032176046164,0.5779128491164157
BTC_USD,3651,2015-01-02,2024-12-30,0.002222200256584311,0.036280086121322996,-0.13407326155086333,7.661926935162535,-0.37169538560117077,0.2524716942763181,0.9723332887322724
ETH_USD,2608,2017-11-10,2024-12-30,0.001960339807487939,0.045736737738120654,-0.16177192681227012,6.2961059985781915,-0.42347221465293305,0.2645807079346558,0.6804033526165228
BNB_USD,2608,2017-11-10,2024-12-30,0.0036152866047872386,0.0533974374337573,2.05972871894025,27.117083498065014,-0.419046115248647,0.6976040370570289,1.0747874505801398
SOL_USD,1725,2020-04-11,2024-12-30,0.005345360124244073,0.06772032524847411,0.5310021541115191,5.443070820661829,-0.4228090368113009,0.4728278503308343,1.2530205817772382
ADA_USD,2608,2017-11-10,2024-12-30,0.0031980984641249437,0.066689183197098,5.272943635060513,88.76017681183777,-0.3956719959237819,1.366809697845254,0.7612664721981861
GC=F,2503,2015-01-05,2024-12-30,0.00034867912718900435,0.009260413543564973,-0.0676611559029279,3.722736441442614,-0.04978726104970077,0.059476675923340716,0.59771731806225
CL=F,2510,2015-01-05,2024-12-30,0.0007864194865042762,0.029442371517365652,1.150527822729118,25.069331210854223,-0.24588178097574942,0.37662331847024166,0.42401551510309826
