Ticker,Mean,Median,Std,Min,Max,Skewness,Kurtosis,Q1,Q3,IQR,JB_Stat,JB_pValue,Is_Normal
GSPC,0.00048280257751830385,0.0006393278815165001,0.01123221711792853,-0.1198405524039344,0.0938277397622755,-0.5284077784848473,14.591989373000656,-0.00377333349635945,0.005756226083377475,0.009529559579736925,22325.006308746888,0.0,No
IXIC,0.0006543145420125518,0.0010682027072766499,0.01344353003671649,-0.123213312901474,0.093459981723861,-0.4516506682324287,7.330793348400563,-0.00501978812730095,0.007538319065787525,0.012558107193088475,5688.676522973468,0.0,No
DJI,0.0004075277595972042,0.0006245356202527999,0.011049015312520444,-0.1292654550735542,0.1136504119941153,-0.556712058022399,21.138601706667387,-0.0038865399100105748,0.00545683234495605,0.009343372254966625,46739.80707974799,0.0,No
AAPL,0.001091096503403016,0.0010007310083535999,0.01793205105439061,-0.1286467184654869,0.119808008694483,-0.0035613150440393566,5.311308994561589,-0.0073285382114353995,0.010143694891893599,0.017472233103329,2940.618472572305,0.0,No
MSFT,0.0010848458851921634,0.0009583145373627,0.017098452781521247,-0.1473898364738953,0.1421684325316858,0.07466965380574547,7.807658788963632,-0.006727674087298075,0.0097794329756594,0.016507107062957476,6358.590382548706,0.0,No
GOOGL,0.0009486536882670482,0.00124027055768615,0.01793668240419216,-0.1163415294565708,0.1625841253627074,0.2406041229503881,6.695693656711972,-0.007515243522965349,0.00954803446011745,0.017063277983082797,4698.421513594301,0.0,No
AMZN,0.0012721487393594273,0.0011527511893486,0.020653183471634612,-0.1404943777492341,0.1413112565602248,0.39948531780633445,6.168883375590147,-0.00863361603886645,0.011307623318350024,0.019941239357216475,4034.153632728188,0.0,No
TSLA,0.0019794619760997475,0.00126436216523565,0.03600924001055743,-0.2106282432039079,0.219190350702904,0.2745848344059953,4.39651682074598,-0.01615960607819505,0.01925576806602105,0.0354153741442161,2046.0702186991355,0.0,No
BTC_USD,0.0022222002565843078,0.0013911214837352,0.03628008612132297,-0.3716953856011707,0.2524716942763181,-0.13407326155086322,7.661926935162562,-0.0121478646281745,0.01695444418182685,0.02910230881000135,8913.187617539314,0.0,No
ETH_USD,0.001960339807487938,0.0007819407248892,0.04573673773812062,-0.423472214652933,0.2645807079346558,-0.16177192681227048,6.296105998578209,-0.018554703234463975,0.022480990685018725,0.041035693919482696,4299.37956771592,0.0,No
